Year,Month,Scen,Inflow,Month-Year
2030,10,CNRM-CM5,1.333868594,2030-10
2030,10,HadGEM2-ES,0.6595867,2030-10
2030,10,MIROC5,0.187626191,2030-10
2030,11,CanESM2,0.687292061,2030-11
2030,11,CNRM-CM5,2.641095403,2030-11
2030,11,HadGEM2-ES,1.096118516,2030-11
2030,11,MIROC5,0.319408307,2030-11
2030,12,CanESM2,2.046186791,2030-12
2030,12,CNRM-CM5,0.878112683,2030-12
2030,12,HadGEM2-ES,0.190462233,2030-12
2030,12,MIROC5,1.294813284,2030-12
2030,2,CanESM2,0.756841515,2030-2
2030,2,CNRM-CM5,5.756371082,2030-2
2030,2,HadGEM2-ES,0.995339868,2030-2
2030,2,MIROC5,1.280863149,2030-2
2030,3,CanESM2,2.928464552,2030-3
2030,3,CNRM-CM5,7.193087695,2030-3
2030,3,HadGEM2-ES,5.139035049,2030-3
2030,3,MIROC5,2.183408234,2030-3
2030,4,CanESM2,4.099326539,2030-4
2030,4,CNRM-CM5,13.55203699,2030-4
2030,4,HadGEM2-ES,6.668717429,2030-4
2030,4,MIROC5,4.282242688,2030-4
2030,5,CanESM2,7.188809499,2030-5
2030,5,CNRM-CM5,17.41072387,2030-5
2030,5,HadGEM2-ES,13.11445155,2030-5
2030,5,MIROC5,3.634991118,2030-5
2030,6,CanESM2,2.264778387,2030-6
2030,6,CNRM-CM5,7.347995101,2030-6
2030,6,HadGEM2-ES,6.948764108,2030-6
2030,6,MIROC5,2.528752215,2030-6
2030,7,CanESM2,0.309513111,2030-7
2030,7,CNRM-CM5,2.235677185,2030-7
2030,7,HadGEM2-ES,1.087233956,2030-7
2030,7,MIROC5,0.279518712,2030-7
2030,8,CanESM2,0.121401351,2030-8
2030,8,CNRM-CM5,0.378850585,2030-8
2030,8,HadGEM2-ES,0.160961863,2030-8
2030,8,MIROC5,0.077096262,2030-8
2030,9,CanESM2,0.064958191,2030-9
2030,9,CNRM-CM5,0.129527874,2030-9
2030,9,HadGEM2-ES,0.062280238,2030-9
2030,9,MIROC5,0.052868991,2030-9
2031,1,CanESM2,1.147967364,2031-1
2031,1,CNRM-CM5,5.199941659,2031-1
2031,1,HadGEM2-ES,0.406946986,2031-1
2031,1,MIROC5,0.669100972,2031-1
2031,10,CanESM2,0.112989215,2031-10
2031,10,CNRM-CM5,0.159139156,2031-10
2031,10,HadGEM2-ES,0.101338068,2031-10
